job_title,job_category_id
HR Associate / Talent Attraction / Employee Experience & Relations ,1
HR Executive / Talent Attraction / Employee Experience & Relations ,1
Manager / Employee Experience & Relations,1
Head / Employee Experience & Relations,1
Manager / Talent Attraction,1
Head / Talent Attraction,1
HR Associate / Talent Management / Learning & Organisational Development,1
HR Executive / Talent Management / Learning & Organisational Development,1
Manager / Learning and Organisation Development,1
Head / Learning and Organisation Development,1
Manager / Talent Management,1
Head / Talent Management,1
HR Associate / Performance & Rewards,1
HR Executive / Performance & Rewards,1
Manager / Performance & Rewards,1
Head / Performance & Rewards,1
Manager / Operations & Technology,1
Head / Operations & Technology,1
HR Business Partner / HR Manager,1
"Head, HR Business Partner",1
Chief Human Resource Officer,1
